Name,Location,city,latitude,longitude,,1313
AAshram Hotel by Niagara River,6508 Buffalo Ave,Niagara Falls,43.0754,-78.9888,,AAshram Hotel by Niagara River
AArya Hotel By Niagara Fashion Outlets,6734 Niagara Falls Boulevard,Niagara Falls,43.089,-78.9859,,AArya Hotel By Niagara Fashion Outlets
Fairfield Inn & Suites by Marriott Niagara Falls,643 Rainbow Blvd,Niagara Falls,43.0837,-79.0532,,Fairfield Inn & Suites by Marriott Niagara Falls
Cascade Inn Niagara Falls,7804 Niagara Falls Blvd,Niagara Falls,43.0888,-78.9748,,Cascade Inn Niagara Falls
Driftwood Motel,2754 Niagara Falls Blvd,Niagara Falls,43.0907,-78.8974,,Driftwood Motel
Sands Motel Niagara Falls,9393 Niagara Falls Blvd,Niagara Falls,43.0945,-78.9555,,Sands Motel Niagara Falls
Red Maple Inn By The Falls,200 Rainbow Blvd,Niagara Falls,43.084,-79.0599,,Red Maple Inn By The Falls
Rodeway Inn Niagara Falls,492 Main St,Niagara Falls,43.0909,-79.0608,,Rodeway Inn Niagara Falls
Wingate By Wyndham Niagara Falls,333 Rainbow Blvd,Niagara Falls,43.0835,-79.0578,,Wingate By Wyndham Niagara Falls
La Quinta Inn & Suites Niagara Falls,6225 Niagara Falls Blvd,Niagara Falls,43.0898,-78.9929,,La Quinta Inn & Suites Niagara Falls
DoubleTree by Hilton Hotel Niagara Falls New York,401 Buffalo Ave,Niagara Falls,43.0823,-79.0565,,DoubleTree by Hilton Hotel Niagara Falls New York
Microtel Inn & Suites by Wyndham Niagara Falls,7726 Niagara Falls Blvd,Niagara Falls,43.0891,-78.9752,,Microtel Inn & Suites by Wyndham Niagara Falls
The Alpine Lodge,264 Main Street,North Creek,43.7,-73.9866,,The Alpine Lodge
