Name,Location,Latitude,Longitude
Fresh Meadows Playground (PS 173),67 Avenue & 173 Street,41.5773,-87.7820
Friends Field,"Avenue L, East 4 Street, McDonald Avenue, Avenue M",40.6164,-73.9744
Galapo Playground,"Bedford Avenue, Gravesend Neck Road",40.5984,-73.9463
General Douglas MacArthur Park,East 49 Street & East River Drive,40.7525,-73.9649
Glenwood Playground,Ralph Avenue & Farragut Road,40.6375,-73.9192
Gouverneur Playground,"3rd Avenue, St. Paul's Place, East 170 Street",40.8328,-73.9051
Gowanus Playground,Wyckoff Street between Bond & Hoyt streets,40.6850,-73.9881
Grandview Playground,"Grandview Avenue, Continental Place",40.6306,-74.1652
Gravesend Park,18 Avenue & 56 Street,45.6566,-73.7678
Grover Cleveland Park,"Rene Court, Grandview Avenue, Stanjope Street & Fairview Avenue",-37.8081,145.3389
Gunn Park (PS 18),"Hillside Avenue, east of 235 Court",40.7339,-73.7242
Haffen Park,"Burke Avenue, Hammersley Avenue, Gunther Avenue, Ely Avenue",40.8725,-73.8400
Haffen Park,"Burke Avenue, Hammersley Avenue, Gunther Avenue, Ely Avenue",40.8725,-73.8400
Haggerty Park,202 Street & Jamaica Avenue,40.7134,-73.7592
Hallets Cove Playground,"Hallets Cove, Vernon Boulevard",40.7718,-73.9343
Hamilton Fish Park (Recreation Center),Between East Houston & Stanton streets,29.6933,-95.4235
Hamilton-Metz Field,"Albany, East New York, Lefferts avenues",40.7128,-74.0060
Hammel Playground,Rockaway Beach Blvd. Bet. Beach 84 St. And Beach 81 St.,40.5890,-73.8100
Happy Warrior Playground,West 98 Street & Amsterdam Avenue,40.7954,-73.9694
Harold Schneiderman Playground (PS 232),155 Avenue & 83 Street,40.6645,-73.8509
Harry Maze Memorial Park,Avenue D between East 56 & East 57 Street,40.7234,-73.9763
Harvey Park,"15 to 20 avenues, East of Whitestone Expressway",40.7920,-73.8096
Havemeyer Playground,"Watson Avenue, Havenuemeyer Avenue, Cross Bronx Expressway",40.8280,-73.8636
Heckscher Playground,Grove Street to Linden Street,40.7218,-74.0447
Henry Hudson Park,"Palisade Avenue, Kappock Street & Independence Avenue",40.8828,-73.9203
Herman Dolgon Playground,Avenue V & Nostrand Avenue,40.5983,-73.9415
High Rock Park,Richmond Parkway & Moravian Cemetery at Rockland Avenue,40.5885,-74.1446
High Rock Park (Education Building),Richmond Parkway & Moravian Cemetery at Rockland Avenue,40.5885,-74.1446
High Rock Park (McArthur Park),Richmond Parkway & Moravian Cemetery at Rockland Avenue,40.5885,-74.1446
High Rock Park (Visitor Center),Richmond Parkway & Moravian Cemetery at Rockland Avenue,40.5885,-74.1446
Highbridge Park (Quisqueya Playground),West 180 Street & Amsterdam Avenue,40.8474,-73.9314
